,ID,name,categories,lat,lng,cuisines,Rating,Cost for Two
0,,Wenger's,Bakery,28.633411895746676,77.21829192902194,Fast Food,0.0,300.0
1,,HOTEL SARAVANA BHAVAN,South Indian Restaurant,28.632319466435003,77.21644531748599,"South Indian, Desserts, Beverages",4.4,500.0
2,,Sagar Ratna,Indian Restaurant,28.635487253836967,77.22064969494076,"South Indian, North Indian, Chinese",3.8,750.0
3,,Khan Chacha | खान चाचा | خان چاچا,Indian Restaurant,28.634202294199614,77.22077980678422,"Rolls, Kebab, Mughlai, North Indian",3.9,650.0
4,,Johnny Rockets,Bistro,28.630457,77.219594,NA,0.0,0.0
5,,Nizam's Kathi Kabab | निजा़म काठी कबाब,Indian Restaurant,28.634857957123064,77.21946245007211,"North Indian, Fast Food, Kebab, Rolls",3.9,900.0
6,,Pind Balluchi,North Indian Restaurant,28.630318339248806,77.21760032761195,"North Indian, Mughlai, Kebab",3.9,1300.0
7,,Chaayos,Café,28.631628538643216,77.22036426182864,"North Indian, Italian, Chinese, Mexican",4.0,1400.0
8,,Rajdhani Thali,Indian Restaurant,28.62999946326596,77.2204011327264,Rajasthani,4.1,700.0
9,,Farzi Cafe,Molecular Gastronomy Restaurant,28.632580798842707,77.22112484247755,"Desserts, Beverages, Cafe, Fast Food, Sandwich",2.4,600.0
10,,Nando's,Portuguese Restaurant,28.630946673402416,77.21972076414269,Fast Food,0.0,300.0
11,,"The Square, Cafe Coffee Day",Café,28.626639961580253,77.21928786545695,"Cafe, Fast Food",3.8,700.0
12,,Berco's,Chinese Restaurant,28.63240704948879,77.2173230839724,Fast Food,0.0,300.0
13,,Tamasha,Gastropub,28.629663327072745,77.22183483476593,"Finger Food, North Indian, Continental, Italian",4.5,1600.0
14,,United Coffee House,Indian Restaurant,28.63247672337289,77.2211199789975,"South Indian, Chinese, Asian, European, Mediterranean, North Indian",4.4,2500.0
15,,Odeon Social,Café,28.634414197963707,77.22093550978948,North Indian,2.8,500.0
16,,Tamra,Restaurant,28.620543184230115,77.21817445898111,"North Indian, Continental, European, Chinese, Thai, Japanese",4.3,3800.0
17,,Immigrants Project - A Cafe in History,Café,28.634055048338602,77.21886681496603,"North Indian, Italian, Continental",3.9,1600.0
18,,Fresc Co,Italian Restaurant,28.628415028106655,77.21954938989002,"North Indian, Mughlai, Kebab",4.3,3000.0
19,,Jain Chawal Wale,Food Truck,28.63162311822946,77.2275401521457,North Indian,3.9,1300.0
20,,The Spice Route,Asian Restaurant,28.625577291994166,77.21806493444225,"Malaysian, Thai, Kerala, Vietnamese, Sri Lankan",4.1,6000.0
21,,Wenger's Deli,Deli / Bodega,28.633657990718326,77.21813923616,"Bakery, Desserts, Fast Food, Salad",4.3,400.0
22,,Barbeque Nation,BBQ Joint,28.63025338767433,77.22098501777461,"North Indian, Chinese, BBQ",4.4,1600.0
23,,Warehouse Cafe,Café,28.63372638697029,77.22102407638606,"American, Continental, Italian, North Indian, Asian, Salad, Juices, Momos",4.1,2100.0
24,,Panchayat Paan Parlour,Indian Restaurant,28.634073264989183,77.22264498769991,Paan,4.0,150.0
25,,Anand Biryani House,Indian Restaurant,28.62913638616433,77.22012996193826,Street Food,4.2,100.0
26,,Bengali Market | बंगाली मार्केट | বাংলা বাজার,Indian Restaurant,28.62949840530067,77.23202048881043,"North Indian, Street Food, South Indian, Chinese, Mithai",3.8,400.0
27,,Kwality Restaurant,Indian Restaurant,28.629743645035568,77.21743130219578,"North Indian, Continental",4.1,2400.0
28,,Triveni Terrace Cafe,Café,28.62729512040755,77.23267677755523,"Healthy Food, North Indian, Kebab",4.2,400.0
29,,Chew,Asian Restaurant,28.632001527203066,77.22270642208512,"South Indian, North Indian, Biryani, Andhra, Seafood",4.1,800.0
30,,Dunkin' Donuts,Donut Shop,28.630181868375203,77.21962210391595,"North Indian, Mughlai, Chinese",4.0,1300.0
31,,Shake square,Café,28.6334059730543,77.218759059906,"Cafe, Fast Food",3.8,700.0
32,,Veda Restaurant,Indian Restaurant,28.635210214696645,77.21807926655758,North Indian,4.6,600.0
33,,Costa Coffee,Café,28.63173491632254,77.21840646471269,"Beverages, Cafe, Sandwich, Fast Food",2.8,600.0
34,,Garam Dharam,North Indian Restaurant,28.631842130012696,77.2227521244348,North Indian,3.9,1300.0
35,,Smoke House Deli,Deli / Bodega,28.633764,77.221405,"American, Continental, Italian, North Indian, Asian, Salad, Juices, Momos",4.1,2100.0
36,,Masala Library,Indian Restaurant,28.618814,77.21809,"North Indian, South Indian, Street Food",3.9,800.0
37,,1911,Mediterranean Restaurant,28.6255310755684,77.21871499822704,"European, Continental",3.5,6000.0
38,,eau de Monsoon,Indian Restaurant,28.618780576519963,77.21817254979929,"Continental, European, North Indian",4.0,4500.0
39,,The Drunkyard Cafe,Tibetan Restaurant,28.641451,77.215506,"North Indian, Chinese, Continental, Thai, Momos",3.7,850.0
40,,Haldiram's,Indian Restaurant,28.63422999171808,77.22233494432798,Fast Food,0.0,300.0
41,,The One,Restaurant,28.619146410488508,77.21790800719232,Continental,4.0,4500.0
