,ID,name,categories,lat,lng,cuisines,Rating,Cost for Two
0,,Imperfecto,Mediterranean Restaurant,28.554657460762375,77.19509179298782,"Mediterranean, Italian, Continental, Asian, North Indian",4.0,2200.0
1,,Gung The Palace,Korean Restaurant,28.556827471063702,77.20529819359226,Korean,4.0,3000.0
2,,Coast Cafe,Café,28.55477945382934,77.19521437173087,"Continental, Kerala",4.3,1400.0
3,,Naivedyam,South Indian Restaurant,28.55498712481466,77.19510433587007,South Indian,4.1,500.0
4,,Yeti - The Himalayan Kitchen,Tibetan Restaurant,28.553656456296924,77.19426148633241,"Tibetan, Nepalese, Momos",4.0,1500.0
5,,Wimpy's,Burger Joint,28.552043016557,77.2042771274286,"Fast Food, Burger",2.7,350.0
6,,Tamura,Japanese Restaurant,28.558153731025968,77.20635636990998,"North Indian, Continental, European, Chinese, Thai, Japanese",4.3,3800.0
7,,Smoke House Deli,Deli / Bodega,28.554423746345233,77.19384591986913,"Continental, Asian, Italian, Mediterranean, Burger",4.1,1700.0
8,,Diggin,Café,28.55566501565905,77.21859020657992,"Cafe, Continental, Italian",4.3,1400.0
9,,Fork You,American Restaurant,28.553996567510044,77.19445468359186,"Continental, Asian, Italian, Mediterranean, Burger",4.1,1700.0
10,,The Golconda Bowl,Indian Restaurant,28.55497164670566,77.1941470209198,"Continental, American, Asian, North Indian, Chinese, Pizza, Biryani, Beverages",4.7,1300.0
11,,Kettle Drum,Café,28.54667688751841,77.19684097757414,"Asian, Biryani, North Indian, Desserts",3.8,500.0
12,,Evergreen Sweets,Indian Restaurant,28.556496952705977,77.20241126837641,"Mithai, South Indian, North Indian, Chinese, Fast Food",3.9,500.0
13,,Rajinder Da Dhaba,Indian Restaurant,28.56526803045266,77.19913678473706,"North Indian, Rolls",4.2,800.0
14,,Adyar Ananda Bhavan,Indian Restaurant,28.557293287865434,77.20250249360129,"South Indian, North Indian, Chinese, Mithai",3.8,500.0
15,,The Potbelly Rooftop Cafe & Kitchen,Indian Restaurant,28.549666477964106,77.21534029625838,"North Indian, Bihari, Fast Food",4.1,1000.0
16,,Mad Over Donuts,Donut Shop,28.558574009468426,77.20213586225266,"Cafe, Bakery, French",3.8,1500.0
17,,Ogaan Coast Café,Indian Restaurant,28.554770801551243,77.19519190570952,"Continental, Kerala",4.3,1400.0
18,,Chopsticks,Chinese Restaurant,28.552319249512376,77.21311864664636,"Chinese, Thai",4.3,600.0
19,,Dunkin' Donuts,Donut Shop,28.55587724141105,77.20207435069003,"Cafe, Bakery, French",3.8,1500.0
20,,T'POT,Café,28.53743251744998,77.21041331491391,"Momos, Fast Food",3.9,400.0
21,,Nagaland's Kitchen,Asian Restaurant,28.557706136322118,77.20581285819608,"Chinese, Thai, Seafood, Naga",4.0,1200.0
22,,Kaffeine,Tapas Restaurant,28.553688163629946,77.19429343992628,"Cafe, Coffee",4.0,900.0
23,,L'opera,Bakery,28.554431084318832,77.19448824345363,North Indian,0,350.0
24,,Ivy & Bean,Australian Restaurant,28.549159518794056,77.21544349930215,"Cafe, Italian, Salad",4.1,1200.0
25,,Sassi Dhaba,Fast Food Restaurant,28.55037709305534,77.18386620283127,North Indian,0,200.0
