,ID,name,categories,lat,lng,cuisines,Rating,Cost for Two
0,,Big Yellow Door,Café,28.693244735370346,77.20494771461874,"Cafe, Italian, Fast Food",4.2,700.0
1,,Woodbox Cafe,Café,28.69433449394833,77.20481057363072,"Cafe, Continental, Chinese",3.7,500.0
2,,Rico's,Fast Food Restaurant,28.694766392301215,77.20414858461864,Fast Food,3.7,300.0
3,,QD's New,Chinese Restaurant,28.695156012831536,77.20408093484266,Bakery,4.0,250.0
4,,Mr. Crust Bakers,Bakery,28.690893362293718,77.2015350760009,Lucknowi,0,400.0
5,,Domino's Pizza,Pizza Place,28.698,77.21,"Pizza, Fast Food",3.9,400.0
6,,Bille Di Hatti | बिल्ले दी हट्टी,Breakfast Spot,28.681587650228284,77.20171940298643,Street Food,4.0,100.0
7,,Mad Over Donuts,Donut Shop,28.680756979848095,77.20388888228172,North Indian,0,200.0
8,,Gopal Sweets,Breakfast Spot,28.682659955224068,77.19966531984826,"North Indian, Chinese",3.9,450.0
9,,Chicago Pizza,Pizza Place,28.681589774555057,77.20320224761963,Pizza,3.4,300.0
10,,Pentamed Canteen,Snack Place,28.699219972029947,77.19174820097714,"Fast Food, Italian",3.9,500.0
11,,Chache Di Hatti | चाचे दी हट्टी,Indian Restaurant,28.68222280150934,77.20586403776046,Street Food,4.3,100.0
12,,Hot-Pot,Food Truck,28.702269485589042,77.19757654834768,Fast Food,3.8,500.0
13,,QD's,Dumpling Restaurant,28.6815524356186,77.20708240701326,"North Indian, Chinese, Mughlai, Italian",4.4,1000.0
14,,Pizza Hut,Pizza Place,28.699932838104072,77.19741371246307,North Indian,0,300.0
15,,Dunkin Donuts,Donut Shop,28.680001703973897,77.20836252340777,"Bakery, Desserts, Fast Food",4.3,400.0
16,,Dunkin Donuts,Donut Shop,28.705036830843877,77.19006901993055,"Bakery, Fast Food, Desserts",3.9,400.0
17,,McDonald's,Fast Food Restaurant,28.681040179896716,77.20772246694133,"North Indian, Chinese, Mughlai, Italian",4.4,1000.0
18,,Domino's Pizza,Pizza Place,28.679,77.208,"Fast Food, Pizza",4.1,400.0
19,,McDonald's,Fast Food Restaurant,28.681048464112823,77.20772246694133,"North Indian, Chinese, Mughlai, Italian",4.4,1000.0
20,,Kori's,Snack Place,28.69573737264197,77.20428070045531,Pizza,3.5,300.0
21,,Indus Flavour,Indian Restaurant,28.695782,77.204162,"North Indian, Chinese, Cafe, Momos",4.3,900.0
22,,Shake Square,Café,28.681605724165333,77.2072396150087,"Beverages, Fast Food",3.7,400.0
23,,Shagun Restaurant,Chinese Restaurant,28.69346069082547,77.20478040848754,"Chinese, Thai, Tibetan, Japanese, Momos",4.1,800.0
24,,The Burger Club,Burger Joint,28.698616,77.20555,"Burger, Fast Food, Beverages",4.2,350.0
25,,Slice Of Italy,Pizza Place,28.691850004944836,77.20151261664266,"Chinese, Tibetan, Momos",4.0,600.0
26,,Egg Point,Food Truck,28.693284043973513,77.19890534877777,Momos,3.1,100.0
27,,Nirulas,Restaurant,28.688142346467565,77.2097099993894,"Fast Food, Ice Cream, Desserts",3.4,600.0
28,,Bercos,Chinese Restaurant,28.680839798956594,77.20797528620804,"Chinese, Thai, Asian",4.0,1600.0
29,,Domino's Pizza,Pizza Place,28.704,77.19,"Pizza, Fast Food",4.0,400.0
30,,McDonald's,Fast Food Restaurant,28.70563888314002,77.19014763530008,Pizza,3.5,300.0
31,,Momo's Point,Chinese Restaurant,28.681478582954096,77.20706679573026,"Chinese, Fast Food",4.0,500.0
32,,Subway,Sandwich Place,28.679506883537428,77.20832368966602,"Wraps, Healthy Food, Sandwich, Salad",3.8,350.0
33,,KFC Kamla Nagar,Fried Chicken Joint,28.685658878100057,77.21110237511552,Momos,3.9,100.0
34,,Vaishnav Chaat Bhandaar,Restaurant,28.682600863476072,77.20336549937728,Street Food,4.0,150.0
35,,Bittu Tikki Walla (BTW),Indian Restaurant,28.682185677994145,77.20255697229456,"North Indian, South Indian",3.8,650.0
36,,CCD kamla nagar,Café,28.68179590840039,77.20704871955274,"Burger, Fast Food",3.8,400.0
37,,Sharma Kachodi Waaley,Breakfast Spot,28.68243182992799,77.19931719382215,Street Food,4.1,50.0
38,,Bakers Stop,Bakery,28.700494682046667,77.1887157051342,"Bakery, Desserts",4.0,350.0
39,,Nukkad Wala,Snack Place,28.679703,77.20828,"Fast Food, Rolls, Beverages",3.8,300.0
40,,"KFC, Bunglow Road",Fried Chicken Joint,28.680783561127345,77.19794713952676,North Indian,3.4,100.0
41,,Grand Plaza,Restaurant,28.704231883359686,77.18931952920994,"Chinese, Burger, Hot dogs",3.3,150.0
42,,Puri Bakers,Bakery,28.70596204765909,77.19032171190645,"Bakery, Fast Food, Desserts",3.9,400.0
43,,Eating Corner,Snack Place,28.706071295998175,77.19020940444771,"North Indian, Fast Food, Street Food",4.0,300.0
