,ID,name,categories,lat,lng,cuisines,Rating,Cost for Two
0,,Gulati Restaurant,Indian Restaurant,28.608010137218567,77.22998865890446,"North Indian, Mughlai, Kebab",4.4,2500.0
1,,The Big Chill Cafe,Italian Restaurant,28.60068629868818,77.22763621585838,Cafe,4.4,1500.0
2,,Varq | वर्क,Indian Restaurant,28.60454694756125,77.2237810008916,"Seafood, North Indian, Kebab",4.2,4500.0
3,,Yellow Brick Road,Restaurant,28.601884437159832,77.22929799913159,"Continental, North Indian, South Indian, Italian",4.0,3500.0
4,,SODABOTTLEOPENERWALA,Irani Cafe,28.600140869804918,77.22627303643019,"Parsi, North Indian",4.3,1700.0
5,,L'Opera,Café,28.599784379249712,77.2261441150033,"Mughlai, Kebab",3.7,450.0
6,,Smoke House Deli,French Restaurant,28.599850091754014,77.22689969233812,"Italian, European, Cafe, American, Salad, Juices, Burger, Healthy Food",4.2,1650.0
7,,Perch,Café,28.599987403620787,77.22634986618046,"Healthy Food, Salad, Desserts",4.1,900.0
8,,Khan Chacha,Indian Restaurant,28.600618250461434,77.22723729363604,Cafe,4.4,1500.0
9,,Machan,Restaurant,28.604657359815082,77.22370647084422,"North Indian, European, Continental, Salad",4.0,5000.0
10,,Havemore,Indian Restaurant,28.608032799884363,77.22994997865756,"Ice Cream, Desserts",3.9,200.0
11,,UPSC Chaat,Snack Place,28.609323718076396,77.22787943787743,Street Food,0,200.0
12,,La Vie,Mediterranean Restaurant,28.600448608398438,77.2269515991211,"Italian, European",3.9,1400.0
13,,Wasabi by Morimoto,Japanese Restaurant,28.604580465233415,77.22367224522354,"Seafood, North Indian, Kebab",4.2,4500.0
14,,Veg Gulati Restaurant,Vegetarian / Vegan Restaurant,28.609089135775704,77.23074316978455,"Ice Cream, Desserts",3.9,200.0
15,,Indian Accent,Indian Restaurant,28.592025841987475,77.23800557290183,"North Indian, Continental, Italian, Salad",4.0,3500.0
16,,Wok In The Clouds,Indian Restaurant,28.600501884081112,77.22722973943226,"Asian, Thai, Chinese, Salad",4.2,2200.0
17,,Café Lota,Café,28.613176514059944,77.24207084847977,"North Indian, South Indian, Bihari, Salad",4.4,1200.0
18,,The Blue Door Cafe,Café,28.600067825914692,77.22658165186408,"Bakery, Desserts, Cafe",3.9,700.0
19,,Chicken Inn,Indian Restaurant,28.607891404129532,77.2297518915048,"North Indian, Mughlai, Kebab",4.1,2300.0
20,,Sevilla,Mediterranean Restaurant,28.60114350202022,77.21617449259902,Chinese,3.9,5000.0
21,,Andhra Bhavan Canteen,Indian Restaurant,28.617094521063013,77.22572098304474,"South Indian, Andhra",4.1,300.0
22,,Élan @ The Lodhi,Restaurant,28.591598725492826,77.23820746338278,"Continental, Finger Food",3.3,5000.0
