,ID,name,categories,lat,lng,cuisines,Rating,Cost for Two
0,,Roots - Cafe in the Park,Café,28.469499756589546,77.06826400756138,"Cafe, North Indian",4.2,750.0
1,,21 Gun Salute,Indian Restaurant,28.468322781634438,77.06317428587096,"North Indian, Mughlai, Asian, Continental, Salad, Kebab",4.0,2000.0
2,,Swagath Restaurant & Bar,Indian Restaurant,28.46998340735945,77.06293189971409,"North Indian, Chinese, South Indian, Seafood, Chettinad",3.8,1500.0
3,,Mamagoto,Thai Restaurant,28.467691442926334,77.06413271506175,"Asian, Chinese, Thai, Malaysian",4.7,1800.0
4,,Bikanervala,Indian Restaurant,28.468819157118112,77.06346197645392,"Mithai, Street Food, South Indian, North Indian, Chinese",4.2,600.0
5,,The Firefly Biztro,Café,28.468760637006525,77.06714718457562,"Bakery, Desserts",3.6,500.0
6,,Cafe Di Ghent,Café,28.468248362697366,77.08291804597158,"Cafe, Belgian",4.2,1700.0
7,,Fat Lulu's,Pizza Place,28.467555017176956,77.08155051421342,"Pizza, Italian",4.0,800.0
8,,"Brix, Street Bar & Rock Cafe",Diner,28.46822143501739,77.06270429940967,"Continental, Mexican, North Indian, Italian, Asian",4.1,1700.0
9,,Cafe Delhi Heights,Café,28.46820072391548,77.08378617082396,"Cafe, Mexican, Bakery, Italian, Desserts",3.8,500.0
10,,Naivedyam,Indian Restaurant,28.46499718066901,77.07903811493136,South Indian,4.1,550.0
11,,Sakley's Mountain Cafe,Café,28.46758368316033,77.08169497501491,"Cafe, Italian, Continental",4.2,1200.0
12,,Barbeque Nation,BBQ Joint,28.473585001866432,77.07865079580996,"Pizza, Italian, Salad",4.2,1700.0
13,,Prego @ The Westin Gurgaon,Italian Restaurant,28.476926081242144,77.07077879942365,Bar Food,4.0,2800.0
14,,The Pasta Bowl Company,Italian Restaurant,28.468166837232534,77.08337968660106,"Italian, Salad, Juices",4.3,1300.0
15,,Di Ghent Boulangerie,Bagel Shop,28.46840079013386,77.08341954863492,"Cafe, Belgian",4.2,1700.0
16,,Fruit Forest,Deli / Bodega,28.468750945783167,77.0635486907545,Korean,4.1,3000.0
