,ID,name,categories,lat,lng,cuisines,Rating,Cost for Two
0,,Cafe Coffee Day,Café,28.57733714587845,77.16850356561686,"Beverages, Cafe, Sandwich, Fast Food",3.0,600.0
1,,Delhi Club House,Comfort Food Restaurant,28.572457133008967,77.17348929267234,"North Indian, Continental, Asian",4.3,1700.0
2,,Karnataka Food Centre,South Indian Restaurant,28.57811342788601,77.17501303798868,South Indian,4.2,450.0
3,,Jamavar Kashmiri Restaurant @ The Leela,Indian Restaurant,28.580142785889475,77.18926702333043,"North Indian, Mughlai",4.0,4000.0
4,,Cafe Coffee Day,Café,28.59524742121391,77.17195447455025,"Cafe, Desserts",4.0,700.0
5,,QD's,Dumpling Restaurant,28.588832514116405,77.16910425286557,North Indian,0,100.0
6,,The Potbelly,Northeast Indian Restaurant,28.583796346289404,77.1878284612995,"North Indian, Bihari, Fast Food",4.2,1000.0
7,,The China Kitchen,Chinese Restaurant,28.568618904703033,77.18526828671202,Chinese,4.1,4500.0
8,,Big Yellow Door,Café,28.58793233404987,77.16732996604847,"Cafe, Italian, Fast Food",4.2,700.0
9,,"TK's Oriental Grill, Hyatt Regency Hotel",Asian Restaurant,28.568649815937782,77.18527588242887,"Japanese, Thai, Sushi",4.1,4000.0
10,,Chowringhee,Deli / Bodega,28.588222667067523,77.16829210180312,"Chinese, North Indian, Rolls, Biryani, Momos",3.9,500.0
11,,The Qube,Breakfast Spot,28.58016233519692,77.1892701263573,"North Indian, Italian, Asian, Seafood, Continental",4.1,3000.0
12,,La Piazza,Italian Restaurant,28.56867033886882,77.18526798156412,"Italian, Salad",4.2,4500.0
13,,Woodbox Cafe,Bistro,28.58771575611469,77.1669163282383,"Cafe, Mexican, North Indian, Italian, Salad",3.9,1500.0
14,,Le Cirque,French Restaurant,28.5797579061002,77.18937425959463,"French, Italian",4.0,5000.0
15,,Golden Dragon,Chinese Restaurant,28.567697449763617,77.15890517539506,"Chinese, Seafood, Japanese, Thai",3.7,1500.0
16,,Alkakori Alkauser Mughlai Food,Indian Restaurant,28.56511762032796,77.16720141315803,"Mughlai, North Indian",3.9,1000.0
17,,Café Coffee Day,Café,28.595206530960507,77.1719253085772,"Cafe, Desserts",4.0,700.0
18,,Domino's Pizza,Pizza Place,28.57732747873153,77.16852044155917,"Pizza, Fast Food",3.8,400.0
19,,34 Chowringee Lane @ South Campus,Snack Place,28.588174214697034,77.16821987406293,"Fast Food, Beverages",4.0,250.0
20,,Blue Ginger- Taj Palace Hotel,Vietnamese Restaurant,28.59556631128013,77.17061734655923,"North Indian, European, Asian",4.0,4500.0
21,,Mathew's Cafe,Indian Restaurant,28.564963506585816,77.17774783812706,South Indian,3.9,100.0
22,,Rani Bagh at Taj Palace,Indian Restaurant,28.595828785096643,77.17025629805485,"North Indian, European, Asian",4.0,4500.0
